지역코드,시군구,법정동,지번,단지,건축년도,층,전용면적,년,월,일,보증금,월세,계약구분,계약기간,갱신요구권사용,종전계약보증금,종전계약월세
41220,평택시,지산동,767-73,(767-73),2004,4,21.53,2011,1,2,2600,0,,,,,
41220,평택시,지산동,767-73,(767-73),2004,2,21.53,2011,1,6,2000,0,,,,,
41220,평택시,지산동,767-73,(767-73),2004,5,21.53,2011,1,6,2800,0,,,,,
41220,평택시,평택동,316,롯데인벤스 스카이,2008,18,78.55,2011,1,12,12000,0,,,,,
41220,평택시,통복동,108-1,오피스텔(108-1),2001,4,36.0,2011,1,13,2300,0,,,,,
41220,평택시,통복동,108-1,오피스텔(108-1),2001,4,45.52,2011,1,21,2200,0,,,,,
41220,평택시,안중읍 안중리,252-33,아이원오피스텔,2004,4,26.02,2011,1,3,4000,0,,,,,
41220,평택시,서정동,879-14,신화노블레스,2003,3,28.88,2011,2,18,1800,0,,,,,
41220,평택시,지산동,749-9,성원오피스텔,2003,2,22.57,2011,2,18,2500,0,,,,,
41220,평택시,통복동,108-1,오피스텔(108-1),2001,2,30.75,2011,2,24,1700,0,,,,,
41220,평택시,안중읍 안중리,252-33,아이원오피스텔,2004,2,26.02,2011,2,18,3400,0,,,,,
41220,평택시,지산동,826,파인힐오피스텔,2002,2,21.96,2011,3,1,2700,0,,,,,
41220,평택시,지산동,826,파인힐오피스텔,2002,2,21.5,2011,3,10,300,30,,,,,
41220,평택시,지산동,767-73,(767-73),2004,5,21.53,2011,3,10,2500,0,,,,,
41220,평택시,지산동,767-73,(767-73),2004,4,21.53,2011,3,16,2600,0,,,,,
41220,평택시,지산동,826,파인힐오피스텔,2002,2,20.52,2011,3,16,2600,0,,,,,
41220,평택시,지산동,843-23,(843-23),2005,5,19.13,2011,3,16,3000,0,,,,,
41220,평택시,지산동,826,파인힐오피스텔,2002,2,20.52,2011,3,21,2500,0,,,,,
41220,평택시,평택동,316,롯데인벤스 스카이,2008,13,78.55,2011,3,6,11000,0,,,,,
41220,평택시,통복동,108-1,오피스텔(108-1),2001,6,45.52,2011,3,15,4000,0,,,,,
41220,평택시,통복동,108-1,오피스텔(108-1),2001,4,34.08,2011,3,22,2500,0,,,,,
41220,평택시,안중읍 안중리,252-33,아이원오피스텔,2004,3,26.02,2011,3,23,3500,0,,,,,
41220,평택시,안중읍 안중리,252-33,아이원오피스텔,2004,3,26.02,2011,3,25,4000,0,,,,,
41220,평택시,지산동,843-23,(843-23),2005,4,19.85,2011,4,11,3000,0,,,,,
41220,평택시,지산동,826,파인힐오피스텔,2002,2,21.96,2011,4,15,2700,0,,,,,
41220,평택시,지산동,749-9,성원오피스텔,2003,3,22.57,2011,4,16,1000,25,,,,,
41220,평택시,평택동,316,롯데인벤스 스카이,2008,7,109.27,2011,4,19,17000,0,,,,,
41220,평택시,안중읍 안중리,252-33,아이원오피스텔,2004,2,26.02,2011,4,11,3500,0,,,,,
41220,평택시,안중읍 현화리,837-6,이우프라자,2005,7,45.12,2011,4,25,2500,5,,,,,
41220,평택시,서정동,897-23,오성오피스텔 마동,2003,4,50.82,2011,5,4,4200,0,,,,,
41220,평택시,평택동,316,롯데인벤스 스카이,2008,16,78.55,2011,5,3,11000,0,,,,,
41220,평택시,통복동,108-1,오피스텔(108-1),2001,5,33.0,2011,5,16,2500,0,,,,,
41220,평택시,지산동,826,파인힐오피스텔,2002,2,21.5,2011,6,4,2500,0,,,,,
41220,평택시,지산동,767-73,(767-73),2004,4,21.53,2011,6,13,2900,0,,,,,
