지역코드,시군구,법정동,지번,단지,건축년도,층,전용면적,년,월,일,보증금,월세,계약구분,계약기간,갱신요구권사용,종전계약보증금,종전계약월세
41590,화성시,진안동,545-1,샹그리랴(545-1),2004,3,24.65,2011,1,15,4000,0,,,,,
41590,화성시,진안동,545-8,샹그리랴(545-8),2004,2,26.79,2011,1,26,4000,0,,,,,
41590,화성시,진안동,545-1,샹그리랴(545-1),2004,2,27.57,2011,1,26,3500,0,,,,,
41590,화성시,반송동,93-9,동탄하이페리온,2010,3,49.81,2011,1,19,11000,0,,,,,
41590,화성시,반송동,93-8,서해더블루(93-8),2009,5,30.32,2011,1,20,5900,0,,,,,
41590,화성시,반송동,107-7,아시아 프라자,2008,10,34.34,2011,1,29,4500,0,,,,,
41590,화성시,석우동,32-4,프리언스 오피스텔,2009,9,28.23,2011,1,15,7000,0,,,,,
41590,화성시,남양읍 남양리,1748,아이리스오피스텔,2003,3,27.48,2011,1,3,500,40,,,,,
41590,화성시,남양읍 남양리,1748,아이리스오피스텔,2003,8,30.0,2011,1,3,1000,30,,,,,
41590,화성시,남양읍 남양리,1748,아이리스오피스텔,2003,7,26.64,2011,1,5,3500,0,,,,,
41590,화성시,남양읍 남양리,1748,아이리스오피스텔,2003,7,29.37,2011,1,8,500,35,,,,,
41590,화성시,남양읍 남양리,1265-3,(1265-3),2010,3,49.77,2011,1,31,500,45,,,,,
41590,화성시,진안동,545-8,샹그리랴(545-8),2004,1,26.79,2011,2,19,4000,0,,,,,
41590,화성시,반송동,106-6,동탄 동일하이빌 오피스텔,2010,26,49.79,2011,2,5,10000,0,,,,,
41590,화성시,반송동,107-7,아시아 프라자,2008,10,35.46,2011,2,10,7000,0,,,,,
41590,화성시,반송동,93-9,동탄하이페리온,2010,4,41.67,2011,2,12,9000,0,,,,,
41590,화성시,반송동,93-3,동탄파라곤,2010,4,40.17,2011,2,15,10000,0,,,,,
41590,화성시,반송동,93-3,동탄파라곤,2010,4,49.91,2011,2,16,12000,0,,,,,
41590,화성시,반송동,106-6,동탄 동일하이빌 오피스텔,2010,24,50.0,2011,2,22,9000,0,,,,,
41590,화성시,반송동,93-9,동탄하이페리온,2010,4,48.81,2011,2,26,9500,0,,,,,
41590,화성시,석우동,32-4,프리언스 오피스텔,2009,8,27.48,2011,2,12,7000,0,,,,,
41590,화성시,남양읍 남양리,1748,아이리스오피스텔,2003,9,26.64,2011,2,9,3000,0,,,,,
41590,화성시,남양읍 남양리,1237,(주)픽앤츄코리아,2008,5,41.73,2011,2,15,300,25,,,,,
41590,화성시,남양읍 남양리,1748,아이리스오피스텔,2003,6,27.24,2011,2,16,1000,30,,,,,
41590,화성시,남양읍 남양리,1748,아이리스오피스텔,2003,1,27.48,2011,2,28,3800,0,,,,,
41590,화성시,송산동,100-9,(100-9),2003,6,34.85,2011,3,5,2000,0,,,,,
41590,화성시,반송동,107-7,아시아 프라자,2008,10,35.46,2011,3,5,7000,0,,,,,
41590,화성시,반송동,93-9,동탄하이페리온,2010,5,41.67,2011,3,8,9500,0,,,,,
41590,화성시,반송동,93-3,동탄파라곤,2010,4,47.51,2011,3,8,8000,0,,,,,
41590,화성시,반송동,107-7,아시아 프라자,2008,11,43.68,2011,3,23,8000,0,,,,,
41590,화성시,반송동,107-7,아시아 프라자,2008,11,36.92,2011,3,29,8000,0,,,,,
41590,화성시,봉담읍 와우리,31-28,토마토오피스텔2,2011,6,24.9,2011,3,9,5000,0,,,,,
41590,화성시,봉담읍 와우리,31-28,토마토오피스텔2,2011,1,29.47,2011,3,11,5500,0,,,,,
41590,화성시,봉담읍 와우리,31-28,토마토오피스텔2,2011,5,24.9,2011,3,24,5000,0,,,,,
41590,화성시,남양읍 남양리,1748,아이리스오피스텔,2003,6,27.48,2011,3,2,1000,30,,,,,
41590,화성시,남양읍 남양리,1237,(주)픽앤츄코리아,2008,5,29.76,2011,3,7,3500,0,,,,,
41590,화성시,남양읍 남양리,1748,아이리스오피스텔,2003,2,26.64,2011,3,14,500,35,,,,,
41590,화성시,남양읍 남양리,1748,아이리스오피스텔,2003,7,30.0,2011,3,15,3500,0,,,,,
41590,화성시,마도면 쌍송리,670-9,(670-9),2007,3,37.5,2011,3,7,1000,40,,,,,
41590,화성시,진안동,545-1,샹그리랴(545-1),2004,4,31.84,2011,4,2,4000,0,,,,,
41590,화성시,진안동,545-8,샹그리랴(545-8),2004,5,26.79,2011,4,11,4000,0,,,,,
41590,화성시,송산동,100-9,(100-9),2003,6,32.8,2011,4,28,500,25,,,,,
41590,화성시,반송동,107-7,아시아 프라자,2008,12,49.07,2011,4,4,10000,0,,,,,
41590,화성시,반송동,107-7,아시아 프라자,2008,12,43.68,2011,4,4,9000,0,,,,,
41590,화성시,반송동,90-2,서해더블루(90-2),2010,3,34.58,2011,4,11,1000,60,,,,,
41590,화성시,반송동,93-10,동탄 지웰 에스테이트,2011,17,36.34,2011,4,12,7000,15,,,,,
41590,화성시,반송동,93-10,동탄 지웰 에스테이트,2011,7,49.5,2011,4,16,11000,0,,,,,
41590,화성시,반송동,93-10,동탄 지웰 에스테이트,2011,18,38.06,2011,4,20,9000,0,,,,,
41590,화성시,반송동,90-2,서해더블루(90-2),2010,4,34.58,2011,4,21,8000,0,,,,,
41590,화성시,반송동,93-8,서해더블루(93-8),2009,5,46.93,2011,4,21,7500,0,,,,,
41590,화성시,반송동,107-7,아시아 프라자,2008,9,34.34,2011,4,22,7300,0,,,,,
41590,화성시,반송동,93-10,동탄 지웰 에스테이트,2011,6,49.5,2011,4,23,12000,0,,,,,
41590,화성시,반송동,93-10,동탄 지웰 에스테이트,2011,20,38.06,2011,4,30,10000,0,,,,,
41590,화성시,석우동,32-4,프리언스 오피스텔,2009,5,32.79,2011,4,11,5800,0,,,,,
41590,화성시,석우동,32-4,프리언스 오피스텔,2009,10,29.4,2011,4,23,7500,0,,,,,
41590,화성시,봉담읍 와우리,31-28,토마토오피스텔2,2011,1,27.46,2011,4,5,2500,30,,,,,
41590,화성시,봉담읍 와우리,31-28,토마토오피스텔2,2011,1,29.47,2011,4,13,5500,0,,,,,
41590,화성시,봉담읍 와우리,31-28,토마토오피스텔2,2011,5,24.9,2011,4,19,2000,35,,,,,
41590,화성시,봉담읍 와우리,31-28,토마토오피스텔2,2011,5,24.9,2011,4,27,5000,0,,,,,
41590,화성시,남양읍 남양리,1748,아이리스오피스텔,2003,9,46.33,2011,4,1,1000,40,,,,,
41590,화성시,남양읍 남양리,1748,아이리스오피스텔,2003,3,26.64,2011,4,2,500,35,,,,,
